name,ratings,date,helpful,comment,developer_comment
Dennis Penglase,Rated 1 stars out of five stars,4-Oct-20,36,"Um? HIPPA Laws? Privacy Laws that guideline the use of a patient's medical information??? ANYONE ever heard of these things? So let's get this straight. If I'm in a room with one other person for a half hour and then directly go into a room all by myself. Then the app informs me that I've been six feet next to someone who's tested positive. Explain to me just EXACTLY where this protects the privacy of that person who I now know, thanks to this app, has tested positive? A VERY SLIPPERY SLOPE!!!",
Dan Healy,Rated 1 stars out of five stars,6-Oct-20,13,graphs don't update. still shows data from 2 days ago. thanks,
Marshal Moore,Rated 1 stars out of five stars,24-May-21,0,"Pretty useless honestly, not worth the storage space",
M- Nice,Rated 1 stars out of five stars,26-Mar-21,3,Excelsior Pass is a violation of out health privacy. Let's not think this is okay.,
NY UK,Rated 1 stars out of five stars,8-Dec-20,7,"So you expect me to believe that people who test positive for the plague, are actually going to be honest & record their data, then go out against the rules and let you track them? Do you delete the info after 2 weeks or keep warning people 3 months later? If it doesn't alert someone immediately, then all you're doing is feeding fear into peoples' minds by sending the ""warning"" later. What's the point in this? So everyone here is staying home any time a warning pops up? If not, why have this?",
Hannah Kanouse,Rated 1 stars out of five stars,4-Oct-20,26,This app is a scam. They are just trying to collect data. My device stalled after the install and I barely got my device working again. You people should be ashamed of yourselves. How dare you create ransomware like this. Go to hell you scammers.,
Carri Fisher,Rated 1 stars out of five stars,7-Oct-20,6,Its stupid I have thyroid disease I have these daily all of them you no it's called any of those symptoms can be from other issues personally it's not a good app cause it should ask if you have any thing else that can cause these symptoms,
kathy robles,Rated 1 stars out of five stars,21-Nov-20,2,I was twice around infected people this does not work.No warnings.Dmv didn't even tell me I might have been exposed I saw it on line.,
tough kid,Rated 1 stars out of five stars,23-Apr-21,0,Fake fake fake fake does NOT WORK DO NOT DOWNLOAD IT GOT ME 700 VIRUS ON MY PHONE IT HACKED IN TO MY BANK AND STOLE ALL MY MONEY DO NOT BUY IT ALSO TOKE MY ADDRES AND SPAMED IT INTO TWITTER DO NOT BUY INSTALL NOTHING DONT EVEN KEEP READING IT PROBLAY WILL HACK YOUR SOCIAL SECRTUTIY NUMBER AND IT TOKE MY KIDS DOES NOT WORK (this is a joke ),
todd abry,Rated 1 stars out of five stars,4-Mar-21,1,Where the hell is the Am I eligible app? No working links Anywhere. Sad.....,
Jeskoummk,Rated 1 stars out of five stars,12-Oct-20,14,"Define exactly what is CoVID-19 in laymen terms and not a nebulous suggestion as the app description. Microsoft, I haven't purchased any products since 2011 or operated within a limited Windows environment since March 2016– so no coronary viruses on my end. As an athlete and living in University (10 years ago) became ill by a Winter viral infection most severe in my existence, supplaning the Red Scare sold by Media in 2020. Here solely to leave an absurd review...Just in, immigrant locator app!",
Tony Almonte,Rated 1 stars out of five stars,1-Oct-20,46,Not Ready For Prime Time. Doesn't completely install.,
Ackeem Duggan,Rated 1 stars out of five stars,29-Mar-21,0,The App unfortunately not opening up.,
Empress Naja,Rated 1 stars out of five stars,3-Oct-20,14,Based on the reveiws I won't be taking a chance on this app. I was about to download it. However the reviews say a lot.,
Damian Rideout,Rated 1 stars out of five stars,18-Oct-20,65,"This is all blown out of proportion. Cuomo was found several times without a mask hugging people, he said rioting's ok, and then he wants to Communistly shut us down for so long. With the economy being crushed, the only people that want this to keep going are the public sector workers that get paid the same for doing Jack, and slums on welfare because why not, right? This is Bu**Sh**.",
Laura Manno,Rated 1 stars out of five stars,25-Mar-21,0,Have to use it to rate it. Day 1,
Roger Bernhardt,Rated 1 stars out of five stars,1-Nov-20,1,It's nothing but a biggest scammer ever because it doesn't work or doesn't do the job at all and I rather give it a big zero rating for it because it's sh** and it's not worth your own time because it hacks into your own computer and your own cellphone and I am going to warn you all about because it's a fake app,
Tom Eayres,Rated 1 stars out of five stars,15-Oct-20,22,"An app isn't going to save you from disease. Have you ever gotten the flu? Have you ever gotten it again? Did you need an app to tell you? Sheeple, this is just another tracking app. Trojan horse! Let the government know where you are 24/7. Bah sheep, bah.",
Mericanmuskles 420,Rated 1 stars out of five stars,20-Feb-21,4,"Imagine being a pathetic sheep and allowing yourself to be stalked wherever you go by this app. Let alone, the government.",
Raul Oaida,Rated 1 stars out of five stars,27-Oct-20,9,"The government tracking your every move for your ""safety"" WHAT A GREAT IDEA, what could go wrong",
Nancy DeNucci,Rated 1 stars out of five stars,2-Oct-20,15,Have tried for 2 days and i can not get into it no matter what time of day it is..,
David Francis,Rated 1 stars out of five stars,23-Jan-21,4,Dont like how this App Works in its effectiveness to sense when you have been exposed,
Rich w,Rated 1 stars out of five stars,16-Feb-21,7,Stop asking me if I want this app. .this is good for people who drive around by themselves with mask on.Media is lying to you.,
Xa Ya Za Za,Rated 1 stars out of five stars,16-Nov-20,1,This app overheat my phone. make it go on fire. because app did clean sweep function. Not safe,
April N,Rated 1 stars out of five stars,3-Oct-20,22,Buffers to death but does nothing else,
Rob Plass,Rated 1 stars out of five stars,17-Oct-20,14,Installed just to leave a one star. You are agitating the public and spreading fear with this app designed solely to influence the election. Shame on you for being deceptive and morally bankrupt.,
levi voorhees,Rated 1 stars out of five stars,1-Jun-21,0,False information about covid and the vaccine,
Dulce Hernandez,Rated 1 stars out of five stars,11-Oct-20,3,with three attempts and I have not been able to download this application,
Ian Duquette,Rated 1 stars out of five stars,2-Dec-20,2,App was automatically installed on my device one day... Not cool.,
Brian Campbell,Rated 1 stars out of five stars,3-Oct-20,41,1 symptom should not trigger that I have COVID-19. I ANSWERED YES TO A HEADACHE. It is too sensitive.,
johnnylakis,Rated 1 stars out of five stars,19-Jan-21,4,This app no longer works,
David S.,Rated 1 stars out of five stars,4-Dec-20,1,Its asking me to turn on bt which is already turned on.,
Ronald Butt,Rated 1 stars out of five stars,9-Oct-20,11,More than useless. If everyone had this app and run it it might be okay.,
Chris O,Rated 1 stars out of five stars,3-Oct-20,26,I can hack your phone through bluetooth if you have this app with permissions on,
Nancy Stock,Rated 1 stars out of five stars,1-Jan-21,2,Useless Doesn't do anything.,
terrence baker,Rated 1 stars out of five stars,1-Oct-20,63,Says I need to install Google play services A.P.I. wth man got all excited for nothing,
Yadira Valdez,Rated 1 stars out of five stars,1-Oct-20,60,Read the reviews saying that it has the ability to hack so I feel like I have been warned.,
Butters Stotch,Rated 1 stars out of five stars,21-Nov-20,6,"Covid is hoax. This isnt about a virus, this is about control. RESIST BEFORE ITS TOO LATE!!!",
Ethan OnMe,Rated 1 stars out of five stars,20-Nov-20,5,Worst app anyone could think of making to constantly fear monger a virus proven less deadly than the common flu. You're crazy if you use this app unironically,
TOMMYD CENTRAL,Rated 1 stars out of five stars,20-Dec-20,3,Intrusive and useless,
Jordan Rose,Rated 1 stars out of five stars,3-Oct-20,17,App forced be to put my grandma in a nursing home and she was covid +. Now all her friends are dead.,
Angelo Rio,Rated 1 stars out of five stars,17-Oct-20,11,"Garbage..ur all a bunch of scared sheep..baaaaaaa... This is a plandemic used to scare people..comon man, 99.99999 % survival rate.. government getting panties ina bunch over their new power's to control people and hurt trump...I downloaded it just to tell you that..baaaa",
Iron Maiden,Rated 1 stars out of five stars,15-Oct-20,4,Horrible one star only cause I'm forced to or I can't post,
Connor,Rated 1 stars out of five stars,2-Oct-20,114,And people told us we were crazy when we said the government wanted to track your every move...,
Laura Vignola,Rated 1 stars out of five stars,27-Feb-21,1,Awful trying to get vaccine appointment,
Lara Jones,Rated 1 stars out of five stars,6-Mar-21,2,Do not download this app its a waste of time and space,
Jay Guagliardo,Rated 1 stars out of five stars,13-Oct-20,10,Cut my battery life to nothing.,
Mr. Q,Rated 1 stars out of five stars,11-Oct-20,19,"Cuomo, please STOP. Smoking crack is not good for your health.",
Holly Benware,Rated 1 stars out of five stars,1-Oct-20,32,It will not completely install,
Brian Polito,Rated 1 stars out of five stars,19-Mar-21,31,"My wife's boyfriend told me that I should be using this app while I am out playing pokémon GO with my other frienx, or rioting and arsoning with my comrades. Because he doesn't want me bringing this filthy virus into his bedroom. The joke is on him, it's not his bedroom. Our place is owned by a coveting filthy landlord. I asked my frienx john, she/they agreed, i respect xie's truth.",
