name,ratings,date,helpful,comment,developer_comment
Matt Z,Rated 1 stars out of five stars,30-Nov-20,23,"Contact tracing is a joke..... My kids have had covid for over a week and a half now, no one has called... I've had it for a week now and no one has called. And u can't report it to the app without be contacted, so someone infected is going around infecting other and not knowing it. Great job CT!","CT Department of Public HealthNovember 30, 2020Matt - we are very sorry you are ill. Thank you for downloading and supporting this App. Our hope is that wide spread use of this technology will help others know when people they are around, have been tested positive. Thank you for your support. We all hope you get better soon ! ** SMcC DPH Admin **"
Rachel,Rated 1 stars out of five stars,26-Mar-21,0,"Never alerts, like ever. I know a few people around me got it and it wasn't reported.",
Eric Augustyn,Rated 1 stars out of five stars,8-Jan-21,2,It's my job to be next to people with the 'Rona and not once have I gotten an alert.,"CT Department of Public HealthJanuary 26, 2021Hi, can you please provide details so that we know the reason for the low rating. This will help our team to improve our app and serve you better. Looking forward for your response. DPH.CovidAlertCT@ct.gov. Maybe the persons you were around did not have the app installed our activated with bluetooth on. This would cause you not to get alerted."
Stephen R,Rated 1 stars out of five stars,8-May-21,0,"I try to install, keep getting ""Somthing went wrong...""","CT Department of Public HealthMay 11, 2021We'll look into this issue for you. Please send us a note at DPH.CovidAlertCT@ct.gov so that we can follow up."
matthew carrasquillo,Rated 1 stars out of five stars,6-May-21,1,This app is trash waste of space and battery consumption I have came in to contact with lots of people with covid this app has not gone off once to let me know,
6th Face Comics,Rated 1 stars out of five stars,4-Mar-21,1,"The state has abandoned this cancer patient, so you can pound sand. I will not be sharing anymore data with this state.","CT Department of Public HealthApril 5, 2021Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us at DPH.CovidAlertCT@ct.gov."
S Oram,Rated 1 stars out of five stars,14-Jan-21,4,"Poor, at best. I know I have been in close proximity to many individuals who have tested positive. Never once have i been notified. There is 1 person I know for certain and I spend an extensive amount of time with. I should have received a notice. I got bubkiss.","CT Department of Public HealthJanuary 26, 2021This could be do to the fact the person you know did not have the app installed, have their Bluetooth enabled while also getting an activation code. This works when all three are enabled on the Covid positive patient's phone. This is why its so important for residents to install the app and activate the utility when asked. "
Ethan Weinstein,Rated 1 stars out of five stars,13-Nov-20,11,"Useless. Reports ""something went wrong, try again"" endlessly. Thanks for nothing.","CT Department of Public HealthJanuary 26, 2021We'll look into this issue for you. Please send us a note at DPH.CovidAlertCT@ct.gov so that we can follow up."
Darthshawn,Rated 1 stars out of five stars,19-Dec-20,7,I have never received a warning no I'm not sure if the app works or not. I have been diagnosed with Covid-19. I went to put it on the app. And it asks for a code. What code. I got a test result not a code for a gift card. And no explanation on the app as to where I find or get a code. Maybe this is why I haven't received any warnings. Should have known something from the CT government would not work well,"CT Department of Public HealthDecember 17, 2020We are sorry you have been tested positive. The code required to alert your contacts (people you have a been within 6 feet for 15 Min) is generated by the CT Contact Tracing team. They will be able to step you through that process of releasing the key to help protect your friends. **SMcC DPH admin**"
Melissa Giugno,Rated 1 stars out of five stars,13-Nov-20,10,I cannot turn on exposure notifications -- I keep getting an error message.,"CT Department of Public HealthNovember 27, 2020Melissa - We are actively working on resolving an issue with some Samsung phones. Thank you for participating. Please check back occasionally for an updated version. **SMcC DPH App Admin **"
Corlene Monroe783beauty Jurewicz,Rated 1 stars out of five stars,19-Nov-20,8,This app is worthless! Unless you input positive it will not alert you. There is no way I drive through Waterbury and not 1 alert!!!! What a scam.,"CT Department of Public HealthNovember 25, 2020Corlene - This app is configured so that it records if your are within 6 ft. of another installed app for 15 minutes. It retains your list for 14 days. During that time if anyone on your list is tested positive - then you will be alerted. Simply driving though Waterbury would not meet the criteria to add anyone to your lists. ** SMcC DPH Admin **"
Danielle Y Myska,Rated 1 stars out of five stars,7-Dec-20,4,"Cannot download the app, error message keeps saying ""something went wrong""","CT Department of Public HealthJanuary 26, 2021Sorry for this inconvenience. We have fixed the issue. Please update to the latest version on the Play Store."
Rebecca Harrison,Rated 1 stars out of five stars,14-Nov-20,12,Downloaded and went to turn on notifications and it immediately says something went wrong try again,"CT Department of Public HealthNovember 27, 2020Rebecca - We are actively working on resolving an issue identified with installing on some Samsung phones. Thank you for participating. Please check back occasionally for an updated version. **SMcC DPH App Admin **"
Valor GOTTI,Rated 1 stars out of five stars,14-Nov-20,9,Cant turn on exposure notification keep getting something went wrong try again,"CT Department of Public HealthJanuary 26, 2021you can only turn on notifications when are confirmed positive."
Jason MacEmcy,Rated 1 stars out of five stars,26-Jan-21,2,"What code do I have to enter? I was never given one. EDIT2: It's been more than 2 weeks since I got my test so it's pointless now. As far as ""feeling"" I didn't get a coffee, I was legit never given one.","CT Department of Public HealthJanuary 26, 2021You will be provided a code by a contact tracer once a positive test is confirmed. You may contact your local health department if you feel you were not provided a code if you tested positive."
Debra Furphy,Rated 1 stars out of five stars,31-Jan-21,0,BEWARE!! EATS UP BATTERY !!,
Ralph Filek,Rated 1 stars out of five stars,5-Dec-20,3,I tried to report a positive test result and for not receive a one time verification code,
Claudia Lu,Rated 1 stars out of five stars,1-Feb-21,0,I cant use it on my Huawei mobile...,"CT Department of Public HealthFebruary 4, 2021Hi, we apologize for any issue you might be having! Could you send details of what you are experiencing to our customer support at DPH.CovidAlertCT@ct.gov? We'll get you up and running."
Brianna Ben,Rated 1 stars out of five stars,9-Feb-21,0,Doesn't work,
greg fantasia,Rated 1 stars out of five stars,11-Jan-21,2,IT REALLY SOUNDS LIKE THIS APP SUCKS.!!! Reading the reviews I DEFINITELY WOULD NOT INSTALL THIS ON MY PHONE. 👎 👎 👎 FROM AN ANDROID USER.,"CT Department of Public HealthJanuary 26, 2021The app is fine, and does not cause any issues. if you have further questions about the I would love to hear from you. DPH.CovidAlertCT@ct.gov Greg I welcome an opportunity to discuss this and sharing some information with you."
Anthony Lagana,Rated 1 stars out of five stars,12-Nov-20,11,exposure notifications won't enable,"CT Department of Public HealthNovember 27, 2020Anthony - We are actively working on resolving an issue with some Samsung phones. Thank you for participating. Please check back occasionally for an updated version. **SMcC DPH App Admin **"
Angel Benoit,Rated 1 stars out of five stars,10-Dec-20,3,I was exposed to the virus and this app never warned me. To me this app sucks,"CT Department of Public HealthDecember 17, 2020This app will record when you are close to people who also have the app. when they enter their release keys. you will be notified. If they don't have the app, or don't do their part and enter the release key, the you won't be notified. We hope you were not infected !! **SMcC DPH admin**"
Rick Lauber,Rated 1 stars out of five stars,13-Dec-20,3,It was slowing my phone down,"CT Department of Public HealthJanuary 22, 2021Hi, we are sorry that you're having issues with the app. Can you write to us at DPH.CovidAlertCT@ct.gov. Kindly include a description of the issue you are facing, your Android version, and your app version. We will investigate immediately & solve the issue."
Stacy Patterson,Rated 1 stars out of five stars,28-Dec-20,3,Was exposed and received no notification,"CT Department of Public HealthJanuary 22, 2021Hi, we apologize for any issue you might be having! Could you send details of what you are experiencing to our customer support at DPH.CovidAlertCT@ct.gov? We'll get you up and running."
Doris Strickland,Rated 1 stars out of five stars,10-Apr-21,0,Was expose but the app did not let me know,
Richard Gillespie,Rated 1 stars out of five stars,12-Nov-20,12,This app will not install on my Samsung phone.,"CT Department of Public HealthNovember 27, 2020Richard - We are actively working on resolving an installation issue with some Samsung phones. Thank you for participating. Please check back occasionally for an updated version. **SMcC DPH App Admin **"
Isaiah Murray,Rated 1 stars out of five stars,14-Nov-20,7,I can't turn on my notifications,"CT Department of Public HealthNovember 25, 2020Isaiah - Notifications can only be turned on with a ""Key"" that is issued by the CT DPH Contact Tracers when a positive test and confirmed result is received. **SMcC DPH App Admin **"
Taylor Allen,Rated 1 stars out of five stars,29-Mar-21,0,This was a crock of shiitt,"CT Department of Public HealthApril 5, 2021Hi, could you please share a brief description of the problem along with an order ID (if available) at DPH.CovidAlertCT@ct.gov to help us understand your concern. We will look forward to your updated review."
Christopher Pike,Rated 1 stars out of five stars,27-Jan-21,24,No. Evil. After response: affirmed evil.,"CT Department of Public HealthJanuary 26, 2021No, not at all. This app simply uses bluetooth to alert you and those around you if have been exposed to COVID. This app is not a tracker, or social recorder. It simply alerts you if you have been exposed. If you become positive it would alert people who have been within 6ft of your phone. completely anonymously"
MFIRST Nlast,Rated 1 stars out of five stars,26-Jan-21,36,"No, don't want it",
Bonnie Thibeault,Rated 1 stars out of five stars,6-Dec-20,4,Not working,"CT Department of Public HealthJanuary 22, 2021Can you check now please. It should work perfectly."
Jenn Gaudio,Rated 2 stars out of five stars,3-Dec-20,48,"App does not work! I go to turn on exposure notifications and I get the error ""something went wrong"" and no way to contact Devs of how to fix this. I wanted to specifically use this while out tomorrow.","CT Department of Public HealthJanuary 26, 2021Please clear the data and cache for your app by going to your phone settings. This should resolve your issue. In case you are still facing the problem, please contact us at DPH.CovidAlertCT@ct.gov with your contact details and relevant screenshots."
tony grocki jeffers,Rated 2 stars out of five stars,15-Jun-21,0,"It's a bit of a joke. All it did was slow the battery, and the one notification I actually got I was with friends and we got some notification that somebody we didn't even know. When that happened I got rid of it I said sorry about the positive test but who is this guy. I do live in an apartment so it might have been someone else's guest but he wasn't in my house.",
Fitim Rasidi,Rated 2 stars out of five stars,14-Nov-20,16,It ONLY tells if the Bluetooth is ON ? Right... if the person tested positive and the Bluetooth is off dosen't work?,"CT Department of Public HealthNovember 26, 2020Fitim _ Thank you. You are correct Bluetooth must remain on, but it uses the ""low power"" setting (it only needs a 6 foot radius) which is minimal power. Most people report no observable battery drain. **SMcC DPH App Admin **"
dariusz drazewski,Rated 2 stars out of five stars,22-Apr-21,0,Not enough adoption I'm guessing,
Jose Caceres,Rated 2 stars out of five stars,1-Dec-20,4,Dont know if it work...,"CT Department of Public HealthDecember 1, 2020Jose - This app is configured so that it stores a record if your are within 6 ft. of another installed app for 15 minutes. It retains your list for 14 days. During that time, if anyone on your list is tested positive then you will be alerted. Hopefully this will stay quiet for you !! Thank you for doing your part ! ** SMcC DPH Admin **"
Stephen Rygiel,Rated 2 stars out of five stars,16-Nov-20,4,Wont work,"CT Department of Public HealthNovember 27, 2020Stephen - We are actively working on resolving an issue identified with installing on some Samsung phones. Thank you for participating. Please check back occasionally for an updated version. **SMcC DPH App Admin **"
Brandon Cartagena,Rated 2 stars out of five stars,28-Nov-20,3,Buymeburgerkingmumbalawmymamalost,"CT Department of Public HealthJanuary 26, 2021Hi, could you please share a brief description of the problem along with an order ID (if available) at DPH.CovidAlertCT@ct.gov to help us understand your concern. We will look forward to your updated review."
Yoones Mohamad,Rated 2 stars out of five stars,7-Dec-20,2,hews,"CT Department of Public HealthJanuary 26, 2021Hi, can you please provide details so that we know the reason for the low rating. This will help our team to improve our app and serve you better. Looking forward for your response. You can also reach out to DPH.CovidAlertCT@ct.gov."
Paul Moore,Rated 3 stars out of five stars,3-Mar-21,45,"This app only allows you to share Covid-19 test results. It should also allow you to share close contacts. I just found out that my fiance and I came in close contact with someone we see regularly who tested positive earlier today. Due to the time of night, currently 10:48pm, we're unable to get tested ourselves. We should be able to alert anyone through the app that we may have contracted the virus BEFORE being tested. Early detection is key with any illness. Please add this function.",
My Pretty Pink Poodle,Rated 3 stars out of five stars,22-May-21,2,Only good if people update. Exposed multiple times but this was the tracer.,
Kesha Nicholas,Rated 3 stars out of five stars,24-Jan-21,17,It was helpful then all the reviews got positive.Well I live in housing Authority in New Haven and half the building is not being safe not wearing mask it's a terror dome. I'm doubling up on my mask staying safe as possible. The Health Dept.should do more for the ederly and disabled. So as far as I'm concern this app just eat up my data. So No,"CT Department of Public HealthJanuary 26, 2021The app does not eat data, and is only checking against a unique code in case you have come in contact with some one with Covid, This app will help you and the community in the case of on an outbreak."
Colleen Peters,Rated 3 stars out of five stars,27-Dec-20,7,I never recieved an alert even though I have it set up to alert me. It did notify inside the app but I would have never known if I hadn't looked.,
Cherokee Wilber,Rated 3 stars out of five stars,5-Jan-21,0,"None of these apps work together. People should not have to worry if they have the correct states app installed and active, then have to switch between apps depending on what state they are in.","CT Department of Public HealthJanuary 26, 2021no one has to switch between states. its all the same app."
Robin Forbes,Rated 3 stars out of five stars,4-Dec-20,69,"I'm glad the State is doing this, but being near someone's app isn't enough. Not everyone has the app. Why aren't we informed of cases in our town? No personal information needed. I know someone who is positive, and that would be good to know how many, if any cases are in my town w/o having to go to DPH.",
Danielle Hopkins,Rated 3 stars out of five stars,13-Nov-20,38,You have to keep your location and Bluetooth on for it to work. That eats up battery. Otherwise it's functional. 🤷🏽‍♀️,"CT Department of Public HealthNovember 25, 2020Danielle - Thank you. You are correct Bluetooth must remain on, but it uses the low power setting (it only needs a 6 foot radius) which is minimal power. **SMcC DPH App Admin **"
Aimee Cyr,Rated 3 stars out of five stars,25-Nov-20,6,Can't turn on the exposure notice. Keeps saying something went wrong even Uninstaller it and that didn't work. It stopped doing that thing,"CT Department of Public HealthNovember 25, 2020Aimee - We have identified an issue with some versions of the Samsung devices. We are working to identify and correct the issue. **SMcC DPH App Admin **"
Daniel Hodson,Rated 3 stars out of five stars,11-Dec-20,1,Is this app just for CT? Does it work in Maine? I've had it for a month and no notifications as cases are spiking here.,"CT Department of Public HealthDecember 17, 2020This App will work in Maine, or any other state that uses the ENx system, And will record when you are close to other Phones with the app in Maine. But it is the CT Department of Public Heath that generates the release ""keys"" s it is only possible to release the notifications for tests on residents of CT. **SMcC DPH admin**"
Gwen Winkler,Rated 3 stars out of five stars,18-Dec-20,3,Someone in my building tested positive but I got no alert.,
Cameron Pahde,Rated 3 stars out of five stars,14-Nov-20,7,Idk I live in milford,
Matt E,Rated 4 stars out of five stars,18-Jun-21,0,"Great handy app. Not sure if it was actually working since I've not once gotten an exposure notification (thankfully) since I am vaxxed now, CDC says I don't need to Quarantine unless showing symptoms and cases and hospitalizations are super low this Summer 2021 in CT. I need space on my phone so I will be deleting for now. Will get again if Covid situation gets worse in the Fall! Thank you!!!",
Megan O'Connell,Rated 4 stars out of five stars,11-Jan-21,51,"The way I understand it, you only get notifications if an exposed person has downloaded this app and gives permission to share data. Those who have been exposed but saw no alert, the person may not have had this app. The app is only as accurate as the number of people using it; it's open-source data collection and completely voluntary. More residents should download this app.","CT Department of Public HealthJanuary 22, 2021Thank you for downloading our app. We'd love to earn 5 stars, so please write to us at DPH.CovidAlertCT@ct.gov suggesting what we can do to improve."
Alex Isgut,Rated 4 stars out of five stars,18-Dec-20,47,I'm not sure how to rate this app (see the XKCD comic on tornado warnings). I'm mostly reviewing to point out a SERIOUS flaw in the design of this app. I live on the border w/ NY. NY has it's own identical app. I can not run both apps at the same time. So I have to pick between CT or NY. What is the reason for this and why is this administered by the states at all? Why isn't there a national app?,
Robert Pintoff,Rated 4 stars out of five stars,26-Nov-20,49,"Bluetooth and location are always on. Significant battery drain. When a covid notification pops up, it does not take you to view that information. Rather you have to download the active app or you just get a spinning wheel.","CT Department of Public HealthNovember 26, 2020Robert - Yes you are correct. This app is configured so that it records if your are within 6 ft. of another installed app for 15 minutes. To do this it requires Bluetooth on but it remains in the ""low power mode"". Most users have reported negligible battery drain from this setting. ** SMcC DPH Admin **"
anon machina,Rated 4 stars out of five stars,1-Dec-20,74,"Impressive. I am impressed at the effort expended by the State of CT to ensure the safety of its residents, creating an app to track and notify exposure to the threat of a virus that kills approximately 1% of the population (not counting the elderly and those co-morbid), and at the same time continue with the virus-turned-political-weapon that is the COVID19/WUHAN virus. I recall an era when individuals whom presented a threat to the health of others were the ones quarantined. Ugh.","CT Department of Public HealthDecember 1, 2020Thank you for downloading and supporting this App. Our hope is that wide spread use of this technology in CT will help others stay safe when people they are around, have been tested positive. Thank you for your support. ** SMcC DPH Admin **"
Aurelia Lynne,Rated 4 stars out of five stars,28-Nov-20,16,"I hope this updates with past exposures/past positive testers too since I just installed it & it's only providing new reports, of which it's currently empty. Also hope the Samsung Secure Folder installation glitch will be fixed soon.","CT Department of Public HealthNovember 28, 2020Aurelia - thanks for installing this. Unfortunately this only works from the time you install itha app and activate it forward. We have no way of determining who was within 6 feet of you for 15 minutes, before you activated the app. Thank you for your support ** SMcC DPH Admin **"
Micah Ackerman,Rated 4 stars out of five stars,14-Nov-20,16,Great app. I was reading Wormwood a book about apocalypse in Connecticut and the app reminded me of the one the main character has in that book. Its also nice to know when its better to just stay home.,
Diane Smith,Rated 4 stars out of five stars,12-Nov-20,72,I had no problems downloading this app on my Android phone. The more people who download this app will make this more effective. Will ask friends and family to download as well.,
NSB,Rated 4 stars out of five stars,1-Dec-20,23,"After deep diving the privacy claims of this app, I feel given it's a fully voluntary system that if you're concerned about covid-19 infection/spread, this app is a useful tool to protect yourself/loved ones while also contributing to the greater good by stopping the spread. Unlike other w reviews, I have had no noticable battery issues B-LE feature on my Note 9. Lost 1 star for some UX bugs I'm sure will be resolved soon.","CT Department of Public HealthDecember 3, 2020Nick - You are correct this does not collect any personal information through the app and is uses the low power Bluetooth. Thank you for your support. ** SMcC DPH Admin **"
Mary Duval,Rated 4 stars out of five stars,18-Nov-20,5,"Easy to install, but I can't put a shortcut on my home screen. I have to search for it every time I want to open it. Everyone be safe.",
Adam Cole,Rated 4 stars out of five stars,14-Nov-20,9,Just DL'd it so i don't know how well it works but WHAT AN AMAZING idea and UTILIZATION of technology! And it's ANONYMOUS!,"CT Department of Public HealthNovember 25, 2020Adam - Thank You ! Once installed, this is completely Anonymous. **SMcC DPH App Admin **"
Tiffany Wilson,Rated 4 stars out of five stars,16-Nov-20,9,As long as it helps people and can't identify me I'm cool with it. I,"CT Department of Public HealthNovember 25, 2020This is completely Anonymous at all levels. **SMcC DPH App Admin **"
Wendy Ann,Rated 4 stars out of five stars,18-Dec-20,1,They should have a nation wide one not state by state,
Ralph Bragg,Rated 4 stars out of five stars,12-Nov-20,16,"Do your part, wear your mask, keep your distance and install the app","CT Department of Public HealthNovember 25, 2020Ralph - Thank you. **SMcC DPH App Admin **"
Joe Charron,Rated 4 stars out of five stars,12-Dec-20,0,Im not going to test this app.,
Liz E,Rated 4 stars out of five stars,1-Jan-21,0,Just saw,"CT Department of Public HealthJanuary 22, 2021Dear User, thanks for your support. If you like us, please encourage us with 5★ : ) "
Jason Nesheim,Rated 5 stars out of five stars,20-Apr-21,30,"I don't normally rate apps. Just looking through all the reviews and it's a shame that people ignorant to how the app actually works are leaving negative reviews. Download the app. Let it run. If you test positive, record it in the app. If someone else running this app tests positive and records it in the app, you will receive an alert (If you were near that person for more than 15min). Other than that, the app will silently run until something happens. It's not that hard to understand...",
Ja Kr,Rated 5 stars out of five stars,22-Mar-21,15,"Great idea in need of more widespread usage. I have no issue having my anonymous data help people I am in proximity with. I have not gotten any alerts, but I tend to not be out and about a lot during the pandemic so I'm probably less susceptible than many.",
Jake Crystal,Rated 5 stars out of five stars,24-Jan-21,35,Simple app. 5 stars because it works but more people need to download. Stop uninstalling because there is not enough people. Install and let it work. Only need to do something if you test positive.,"CT Department of Public HealthJanuary 26, 2021Thank you for this review! "
Christian,Rated 5 stars out of five stars,13-Feb-21,16,Simple enough to use. The best way to get the most out of this app is to encourage your friends & family to also get the app! It's a community effort.,
David Struff,Rated 5 stars out of five stars,13-Feb-21,14,I like this. It's simple and easy. I wish my state participated in the program (a state next to mine does).,
Bill Ostrove,Rated 5 stars out of five stars,13-Nov-20,113,"Happy with this app so far. It was easy to set up. I like that it focuses on privacy (no permissions required, data anonimized, etc) while helping me do my part to keep us all safe.","CT Department of Public HealthNovember 25, 2020Bill - Thank you. This App is totally anonymous and collects no personal data. **SMcC DPH App Admin **"
Tonya Bond,Rated 5 stars out of five stars,14-Nov-20,58,So far so good. I like that you are not required to put your personal information in to use the app. Im happy they came up with something to notify you if someone nearby has the coronavirus.,"CT Department of Public HealthNovember 25, 2020Tonya - Once installed, this is completely Anonymous. I truly hope you never have to use that feature ! **SMcC DPH App Admin **"
Jordan Lewis,Rated 5 stars out of five stars,13-Nov-20,146,"The app requires ZERO permissions on your phone. the app doesn't know who you are, and doesn't know where you are. They did a great job at anonymizing your data. again, GPS IS NOT REQUIRED OR ASKED FOR. it's either we install this app or shutdown the country.","CT Department of Public HealthNovember 25, 2020Jordan - Thank you. You are absolutely correct! This App is totally anonymous and collects no personal data, including location. **SMcC DPH App Admin **"
Melissa Pelletier,Rated 5 stars out of five stars,15-Nov-20,29,"Installed without any issues. I was worried that it might drain the battery but so far, it uses so little it registers as 0% per hour.",
Sam Cyanide,Rated 5 stars out of five stars,28-Nov-20,6,"Nice app, like others have said i appreciate that it doesnt require permissions and the privacy model is transparent. Only thing that could make it better is if it was open source.","CT Department of Public HealthNovember 30, 2020Sam - Thank you for your support! Unfortunately we can not make it open source. . . But we have made it FREE! Both the Google and Microsoft ENx Teams are actively involved in regular integration changes and updating of this. ** SMcC DPH Admin **"
ramana vtv,Rated 5 stars out of five stars,28-Nov-20,3,"All citizens must be alert about covid-19.Most of the citizens are not wearing Masks, not maintaining social distance. Due to these reasons Covid-19 is not reducing among people. This app is very useful to control covid-19 ,because it alerts the peron who d uses this app-- Ramana VTV.","CT Department of Public HealthDecember 1, 2020Ramana - This app is configured to help you be aware ! It stores a record if your are within 6 ft. of another installed app for 15 minutes. If anyone on your list is tested positive then you will be alerted. Hopefully this will stay quiet for you !! Thank you for doing your part ! ** SMcC DPH Admin **"
Michael Lillis,Rated 5 stars out of five stars,15-Nov-20,12,"Seems like they did a good job to make this as anonymous as possible. no permissions are required by the app, which is really nice.","CT Department of Public HealthNovember 26, 2020Michael - This is completely anonymous and your identity is protected. Thank you for participating !! ** SMcC DPH Admin **"
Ray,Rated 5 stars out of five stars,26-Nov-20,11,"This app is a hoax 😉 Update: I forgot that I wrote the above ""review"" until I got a response from the developer. I just want to say thank you for everything you are doing. This app is a great idea. Keep up the good work! I probably should have kept my original tongue in cheek ""review"" to myself.","CT Department of Public HealthNovember 26, 2020John - Most scientific evidence does not come to the same conclusion. Thank you for your support ** SMcC DPH Admin **"
Barbara M,Rated 5 stars out of five stars,14-Nov-20,10,"I had no trouble downloading the app on my android, and it automatically activated notifications.","CT Department of Public HealthNovember 25, 2020Barbara - Thank You ! **SMcC DPH App Admin **"
Jeremy Webber,Rated 5 stars out of five stars,14-Nov-20,10,Install on my Pixel 4A was smooth and you can tell it's well designed and not a hacked together iOS port.,
Mark Raymond,Rated 5 stars out of five stars,13-Nov-20,16,Error free install on Samsung galaxy with current OS. Looking forward to everyone doing their part.,
David Cooper,Rated 5 stars out of five stars,28-Nov-20,6,Great app. Glad to see CT dept of health participating in this notification system. Be a patriot and wear a mask. It will save lives and prevent the need for further lock downs. No permissions needed. You have no excuse unless you hate your country.,"CT Department of Public HealthNovember 30, 2020David - Thank you for your support! ** SMcC DPH Admin **"
Kenneth Langer,Rated 5 stars out of five stars,14-Dec-20,90,The exposure notification activation issue I reported in November seems to be resolved. Thanks!,"CT Department of Public HealthNovember 27, 2020Kenneth - We are actively working on resolving an issue identified with some Samsung phones. Thank you for participating. Please check back occasionally for an updated version. **SMcC DPH App Admin **"
David T,Rated 5 stars out of five stars,15-Nov-20,9,Works fine. Hope I never get a ping about being near someone thats infected!,"CT Department of Public HealthNovember 25, 2020David T - Thank you for helping keep all of CT safer. **SMcC DPH App Admin **"
Owen Spangler,Rated 5 stars out of five stars,18-Nov-20,53,"Clean interface, and it seems to work well so far. Stop the spread!",
Dan Loeb,Rated 5 stars out of five stars,12-Nov-20,15,"Finally! Took the state forever to get a tracing app out, was looking for something like this months ago.","CT Department of Public HealthNovember 25, 2020Dan - Thank you for participating. **SMcC DPH App Admin **"
Kristen Soto,Rated 5 stars out of five stars,14-Nov-20,5,Easy to download and activate on my Samsung Galaxy device.,
Martin Evans,Rated 5 stars out of five stars,12-Nov-20,10,Quick and easy to install.,
